source,name,dob,desc,wikidata,email,vk,ig,fb,tw,yt,ok,sanctioned
putin2018,Калашникова Светлана Васильевна,,"АОООП ""Союз ""Астраханское областное объединение организаций профсоюзов"", председатель.",,,,,,,,,
putin2018,Калинин Александр Сергеевич,,Президент «Опоры России».,,,,,,,,,
putin2018,Калинин Роман Евгеньевич,,"ФГБОУ ВО ""Рязанский государственный медицинский университет имени академика И.П. Павлова"", ректор.",,,,,,,,,
putin2018,Калягин Александр Александрович,,"Народный артист России, председатель Союза театральных деятелей Российской Федерации, художественный руководитель Московского театра «etcetera».",,,,,,,,,
putin2018,Калясин Валерий Михайлович,,"Вологодская областная федерация профсоюзов, председатель.",,,,,,,,,
putin2018,Каменский Сергей Игоревич,,"Спортсмен краевого автономного учреждения «Центр спортивной подготовки сборных команд Алтайского края», мастер спорта международного класса,серебряный призер Олимпийских игр по стрелковому спорту.",,,,,,,,,
putin2018,Кандыбович Сергей Львович,,"Управляющая компания ""Содружество"", директор Московского представительства.",,,,,,,,,
putin2018,Капанина Светлана Владимировна,,"Филиал ПАО ""Компания ""Сухой"" ""ОКБ Сухого"", летчик- инструктор 1 класса.",,,,,,,,,
putin2018,Кара Юрий Викторович,,"Советский и российский режиссер, сценарист, продюсер.",,,,,,,,,
putin2018,Карапетян Шаварш Владимирович,,"Советский спортсмен в дисциплине подводное плавание, 11-кратный рекордсмен мира. Спас большое количество людей в нескольких авариях.",,,,,,,,,
putin2018,Карпов Олег Эдуардович,,"ФГБУ ""Национальный медико-хирургический центр им. Н.И. Пирогова Минздрава России"", генеральный директор.",,,,,,,,,
putin2018,Карпович Наталья Николаевна,,Президент Фонда «Защита детства». Председатель Региональной общественной организации «Объединение многодетных семей города Москвы». Член Общественной палаты Москвы.,,,,,,,,,
putin2018,Карякин Сергей Александрович,,"Шахматист, гроссмейстер. Член Общественной палаты Российской Федерации.",,,,,,,,,
putin2018,Каспржак Алексей Анатольевич,,"Генеральный директор международного детского центра ""Артек""",,,,,,,,,
putin2018,Катырин Сергей Николаевич,,Президент Торгово-промышленной палаты Российской Федерации.,,,,,,,,,
putin2018,Кац Любовь Ивановна,,"Владимирская областная общественная организация ""Ассоциация детей-инвалидов ""Свет"", председатель.",,,,,,,,,
putin2018,Кашаев Владимир Евгеньевич,,"Государственное бюджетное учреждение Ивановской области ""Центральная универсальная научная библиотека"", директор.",,,,,,,,,
putin2018,Каштанов Олег Александрович,,"Автономное учреждение ""Известия Мордовии"", генеральный директор-главный редактор.",,,,,,,,,
putin2018,Кива Ирина Владимировна,,"ООО ""Форум-М"", директор.",,,,,,,,,
putin2018,Кирьянов Алексей Евгеньевич,,"Муниципальное автономное учреждение дополнительного образования Центр технического творчества ""Новация"", директор.",,,,,,,,,
putin2018,Киселев Михаил Сергеевич,,"Молодежная общероссийская общественная организация ""Российские Студенческие Отряды"", руководитель Центрального штаба.",,,,,,,,,
putin2018,Киселева Мария Александровна,,"ГБУ ""МГФСО"" Москомспорта, СШ ""Центр по синхронному плаванию М. Киселевой"", директор.",,,,,,,,,
putin2018,Клебанов Денис Вадимович,,Исполнительный директор Общероссийской общественно-государственной детско-юношеской организации «Российское движение школьников».,,,,,,,,,
putin2018,Климов Виктор Владимирович,,Руководитель проекта ОНФ «За права заемщиков».,,,,,,,,,
putin2018,Климов Владимир Иванович,,"Алтайская краевая общественная организация ветеранов (пенсионеров) войны, труда. Вооруженных Сил и правоохранительных органов, председатель.",,,,,,,,,
putin2018,Князев Евгений Владимирович,,Ректор Театрального института им. Б.Щукина.,,,,,,,,,
putin2018,Ковальчук Андрей Николаевич,,"Скульптор, председатель Всероссийской творческой общественной организации «Союз художников России». Член Общественной палаты Российской Федерации",,,,,,,,,
